% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Mar 2 2017, 12:12
% Dimension:          2
% Nodes:              4862
% Expressions:        14
% Description:        power density, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.01                     0                        9.056623813612314E-5     0.0019228049009553268    0.0012083979696335969    0.0034095998616730525    0.013458334888546065     0.019827912326116567     0.005874633021650576     8.19254268207358E-9      1.677277025272308E-8     4.696857205769115E-9     4.626129198436486E-9     3.182270070226721E-10    1.7478303635882368E-11
0.03                      0.01                     0                        8.971912302541281E-5     0.0018915409230452166    0.0011933694656771844    0.0033635362668948685    0.013535010160407115     0.01991063774624271      0.00589284589377711      -6.478740054942742E-9    -1.3264064977829915E-8   -3.7143189962192343E-9   -3.6583866206559245E-9   -2.516569198319388E-10   -1.3822007434397809E-11
0.05                      0.01                     0                        8.872137269344505E-5     0.0018572814356494487    0.0011767942301821929    0.0033152087979703942    0.01361360364478929      0.01999640754669566      0.0059118306443054274    -2.5744439967066585E-8   -5.2707150100966776E-8   -1.4759515215269147E-8   -1.4537257851538917E-8   -1.0000040764048682E-9   -5.4924234897760106E-11
0.06999999999999999       0.01                     0                        8.511821616816359E-5     0.0017652649474195195    0.0011316442078706031    0.00319259682620398      0.01380555488599739      0.020179904287030027     0.00594797816071772      -4.513871968003655E-9    -9.241347943807038E-9    -2.587842737179494E-9    -2.548873496244066E-9    -1.7533457220851122E-10  -9.630077973581812E-12
0.09                      0.01                     0                        8.127958626800912E-5     0.0016687999718371029    0.001084302636767614     0.0030634626909457475    0.014008629392191399     0.020371161918724366     0.00598516281151874      2.5603658712593207E-8    5.241892558645325E-8     1.4678804076472473E-8    1.4457762108009027E-8    9.945356401702923E-10    5.4623886445830726E-11
0.11                      0.01                     0                        7.776857089880049E-5     0.0014897397128315272    9.950537499972194E-4     0.00273704641922716      0.01456161424546069      0.020807593328467808     0.006050496797580674     -6.096093663352126E-9    -1.2480664724300996E-8   -3.494944434334238E-9    -3.44231552850438E-9     -2.36793595871436E-10    -1.3005654065616481E-11
0.13                      0.01                     0                        7.413958860083537E-5     0.0013753362342496887    9.296796086173258E-4     0.002658610107930946     0.014674643324934476     0.02098403156451291      0.006093864081124764     -8.322774924724459E-9    -1.703939754662288E-8    -4.771520502752188E-9    -4.6996681720720226E-9   -3.2328568274825885E-10  -1.77561463971065E-11
0.15000000000000002       0.01                     0                        7.051060630287019E-5     0.0012609327556678492    8.643054672374318E-4     0.0025801737966347315    0.014787672404408253     0.021160469800557996     0.0061372313646688515    -1.054945618609679E-8    -2.1598130368944762E-8   -6.048096571170135E-9    -5.9570208156396635E-9   -4.097777696250815E-10   -2.2506638728596516E-11
0.17                      0.01                     0                        6.688162400490507E-5     0.0011465292770860107    7.989313258575382E-4     0.002501737485338517     0.014900701483882037     0.021336908036603097     0.006180598648212941     -1.2776137447469126E-8   -2.615686319126665E-8    -7.324672639588086E-9    -7.214373459207307E-9    -4.962698565019044E-10   -2.7257131060086532E-11
0.19                      0.01                     0                        6.350865182475719E-5     0.0010408980907411593    7.36691115237311E-4      0.002443195287965637     0.014999599779503887     0.021507943830153857     0.006226602300296154     -5.5458910888110364E-8   -1.1354223064689333E-7   -3.179508430256945E-8    -3.131629543223048E-8    -2.154218038226135E-9    -1.1831829523924947E-10
0.21000000000000002       0.01                     0                        6.019880360929846E-5     9.724905793956181E-4     6.916144266234212E-4     0.0024130919904123563    0.014943469903168983     0.021451767900821886     0.006212498162017235     -6.851546456919136E-8    -1.4027319607284195E-7   -3.928052204995933E-8    -3.868901310475095E-8    -2.6613802418546684E-9   -1.4617367769279206E-10
0.23                      0.01                     0                        5.677684761184308E-5     9.052371281415022E-4     6.473082515220029E-4     0.002381565525720203     0.014874748075310713     0.021374318180923838     0.006192005799961987     -7.39479807208739E-8     -1.5139530417070488E-7   -4.239503162563957E-8    -4.175662258395056E-8    -2.872398166648036E-9    -1.5776362851644893E-10
0.25                      0.01                     0                        5.335489161438771E-5     8.37983676887387E-4      6.030020764205848E-4     0.0023500390610280506    0.014806026247452442     0.02129686846102579      0.00617151343790674      -7.938049687255647E-8    -1.6251741226856787E-7   -4.550954120131981E-8    -4.482423206315019E-8    -3.0834160914414047E-9   -1.6935357934010582E-10
0.27                      0.01                     0                        4.993293561693233E-5     7.707302256332714E-4     5.586959013191663E-4     0.0023185125963358973    0.014737304419594173     0.02121941874112774      0.006151021075851491     -8.481301302423904E-8    -1.7363952036643092E-7   -4.862405077700006E-8    -4.789184154234983E-8    -3.294434016234774E-9    -1.8094353016376274E-10
0.29000000000000004       0.01                     0                        4.653172787185585E-5     7.039667127313662E-4     5.146419042280525E-4     0.0022871584997944494    0.014668922786702496     0.021141914655731345     0.006130508350792694     -9.0423010366526E-8      -1.8512498955372725E-7   -5.18403118895753E-8     -5.105967032462673E-8    -3.5123459311214067E-9   -1.9291212657517216E-10
0.31                      0.01                     0                        4.387168522139485E-5     6.590176985811388E-4     4.823424713816442E-4     0.0022560197655367986    0.014542071180049214     0.020967638304709987     0.006081462499408818     -8.101348922554879E-8    -1.6586067291719733E-7   -4.644575016571139E-8    -4.5746343048489524E-8   -3.146847224991767E-9    -1.7283747161730174E-10
0.33                      0.01                     0                        4.083179883688707E-5     6.106187419090584E-4     4.48854307238311E-4      0.00221885521588333      0.014380834127312598     0.020747252832737356     0.006018851465092513     -8.360071343124897E-8    -1.7115755312624978E-7   -4.792902869413127E-8    -4.720728550620545E-8    -3.2473440606418425E-9   -1.7835716092453973E-10
0.35000000000000003       0.01                     0                        3.7791912452379304E-5    5.622197852369785E-4     4.1536614309497816E-4    0.002181690666229862     0.01421959707457599      0.02052686736076473      0.005956240430776205     -8.618793763694915E-8    -1.7645443333530224E-7   -4.941230722255115E-8    -4.866822796392139E-8    -3.3478408962919182E-9   -1.8387685023177768E-10
0.37                      0.01                     0                        3.4752026067871517E-5    5.138208285648981E-4     3.818779789516452E-4     0.0021445261165763925    0.014058360021839375     0.020306481888792086     0.005893629396459899     -8.877516184264931E-8    -1.8175131354435464E-7   -5.089558575097102E-8    -5.0129170421637304E-8   -3.4483377319419927E-9   -1.8939653953901564E-10
0.39                      0.01                     0                        3.171213968336377E-5     4.654218718928182E-4     3.4838981480831235E-4    0.0021073615669229247    0.013897122969102766     0.02008609641681947      0.005831018362143592     -9.13623860483495E-8     -1.870481937534071E-7    -5.23788642793909E-8     -5.159011287935324E-8    -3.548834567592069E-9    -1.9491622884625362E-10
0.41000000000000003       0.01                     0                        2.8672253298856004E-5    4.170229152207379E-4     3.149016506649794E-4     0.002070197017269456     0.013735885916366151     0.019865710944846838     0.005768407327827285     -9.394961025404968E-8    -1.9234507396245958E-7   -5.386214280781078E-8    -5.305105533706917E-8    -3.6493314032421442E-9   -2.004359181534916E-10
0.43                      0.01                     0                        2.610808532678437E-5     3.751427374970029E-4     2.853241094290522E-4     0.002034618730358262     0.013570219559956749     0.019637883119737066     0.005703477608321895     -8.73498290612096E-8     -1.7883319883876096E-7   -5.0078429856284904E-8   -4.9324319735642706E-8   -3.39297282233446E-9     -1.863556766344266E-10
